"","cost","date","t1","t2","cap","pr","ne","ct","bw","cum.n","pt"
"1",460.05,71.08,14,46,687,0,1,0,0,14,0 
"2",452.99,71.08,10,73,1065,0,0,1,0,1,0
"3",443.22,68.75,10,85,1065,1,0,1,0,1,0
"4",652.32,68.75,11,67,1065,0,1,1,0,12,0
"5",642.23,68.75,11,78,1065,1,1,1,0,12,0
"6",345.39,71.08,13,51,514,0,1,1,0,3,0
"7",272.37,68.75,12,50,822,0,0,0,0,5,0
"8",317.21,68.75,14,59,457,0,0,0,0,1,0
"9",457.12,68.75,15,55,822,1,0,0,0,5,0
"10",690.19,68.75,12,71,792,0,1,1,1,2,0
"11",350.63,71.08,12,64,560,0,0,0,0,3,0
"12",402.59,68.75,13,47,790,0,1,0,0,6,0
"13",412.18,68.75,15,62,530,0,0,1,0,2,0
"14",495.58,71.08,17,52,1050,0,0,0,0,7,0
"15",394.36,67.83,13,65,850,0,0,0,1,16,0
"16",423.32,68.75,11,67,778,0,0,0,0,3,0
"17",712.27,67.83,18,60,845,0,1,0,0,17,0
"18",289.66,68.75,15,76,530,1,0,1,0,2,0
"19",881.24,71.08,15,67,1090,0,0,0,0,1,0
"20",490.88,68.75,16,59,1050,1,0,0,0,8,0
"21",567.79,68.75,11,70,913,0,0,1,1,15,0
"22",665.99,71.08,22,57,828,1,1,0,0,20,0
"23",621.45,68.75,16,59,786,0,0,1,0,18,0
"24",608.8,71.08,19,58,821,1,0,0,0,3,0
"25",473.64,71.08,19,44,538,0,0,1,0,19,0
"26",697.14,71.08,20,57,1130,0,0,1,0,21,0
"27",207.51,67.83,13,63,745,0,0,0,0,8,1
"28",288.48,67.83,9,48,821,0,0,1,0,7,1
"29",284.88,67.83,12,63,886,0,0,0,1,11,1
"30",280.36,67.83,12,71,886,1,0,0,1,11,1
"31",217.38,67.83,13,72,745,1,0,0,0,8,1
"32",270.71,67.83,7,80,886,1,0,0,1,11,1
